date,phase,noise_type,acquisition_function,query_budget,image_id,run_number,attack_success,queries_used,emissions_kg,execution_time_seconds,notes
2026-07-17 14:42,Phase 1,perlin,EI,10,ILSVRC2012_val_00043105.JPEG,3,True,2,1.353743503106289e-05,5.101107358932495,Phase 1 automated run
2026-07-17 14:42,Phase 1,perlin,EI,10,ILSVRC2012_val_00043105.JPEG,4,True,2,9.591137236944274e-06,3.6176393032073975,Phase 1 automated run
2026-07-17 14:42,Phase 1,perlin,EI,10,ILSVRC2012_val_00043105.JPEG,5,True,2,1.0012110214475724e-05,3.775704860687256,Phase 1 automated run
2026-07-17 14:42,Phase 1,perlin,EI,10,ILSVRC2012_val_00043105.JPEG,6,True,2,9.949707004118298e-06,3.762993812561035,Phase 1 automated run
2026-07-17 14:42,Phase 1,perlin,EI,10,ILSVRC2012_val_00043105.JPEG,7,True,2,1.0033479863429512e-05,3.785370349884033,Phase 1 automated run
2026-07-17 14:42,Phase 1,perlin,EI,10,ILSVRC2012_val_00043105.JPEG,8,True,2,8.92030961495671e-06,3.370222330093384,Phase 1 automated run
2026-07-17 14:43,Phase 1,perlin,EI,10,ILSVRC2012_val_00043105.JPEG,9,True,2,9.04157377511924e-06,3.4112541675567627,Phase 1 automated run
2026-07-17 14:43,Phase 1,perlin,EI,10,ILSVRC2012_val_00043105.JPEG,10,True,2,1.207412568237767e-05,4.58564043045044,Phase 1 automated run
2026-07-17 14:43,Phase 1,perlin,EI,10,ILSVRC2012_val_00010027.JPEG,1,True,2,1.0600238434746251e-05,3.994232654571533,Phase 1 automated run
2026-07-17 14:43,Phase 1,perlin,EI,10,ILSVRC2012_val_00010027.JPEG,2,True,2,8.96835520797909e-06,3.391713380813598,Phase 1 automated run
2026-07-17 14:43,Phase 1,perlin,EI,10,ILSVRC2012_val_00010027.JPEG,3,True,2,9.894322474634056e-06,3.7359540462493896,Phase 1 automated run
2026-07-17 14:43,Phase 1,perlin,EI,10,ILSVRC2012_val_00010027.JPEG,4,True,2,1.1580044527567274e-05,4.435618877410889,Phase 1 automated run
2026-07-17 14:43,Phase 1,perlin,EI,10,ILSVRC2012_val_00010027.JPEG,5,True,2,1.405322777361567e-05,5.308749914169312,Phase 1 automated run
2026-07-17 14:43,Phase 1,perlin,EI,10,ILSVRC2012_val_00010027.JPEG,6,True,2,1.5166412469446834e-05,5.765745401382446,Phase 1 automated run
2026-07-17 14:43,Phase 1,perlin,EI,10,ILSVRC2012_val_00010027.JPEG,7,True,2,1.0268186244668556e-05,3.891959190368652,Phase 1 automated run
2026-07-17 14:43,Phase 1,perlin,EI,10,ILSVRC2012_val_00010027.JPEG,8,True,2,1.4039187326670488e-05,5.297383069992065,Phase 1 automated run
2026-07-17 14:44,Phase 1,perlin,EI,10,ILSVRC2012_val_00010027.JPEG,9,True,2,1.4154293281701178e-05,5.33892822265625,Phase 1 automated run
2026-07-17 14:44,Phase 1,perlin,EI,10,ILSVRC2012_val_00010027.JPEG,10,True,2,1.2105580198008465e-05,4.578513622283936,Phase 1 automated run
2026-07-17 14:44,Phase 1,perlin,EI,10,ILSVRC2012_val_00012374.JPEG,1,True,2,1.0216754619541656e-05,3.8551087379455566,Phase 1 automated run
2026-07-17 14:44,Phase 1,perlin,EI,10,ILSVRC2012_val_00012374.JPEG,2,True,2,8.756114894515885e-06,3.3096461296081543,Phase 1 automated run
2026-07-17 14:44,Phase 1,perlin,EI,10,ILSVRC2012_val_00012374.JPEG,3,True,2,1.4594530431178626e-05,5.49888801574707,Phase 1 automated run
2026-07-17 14:44,Phase 1,perlin,EI,10,ILSVRC2012_val_00012374.JPEG,4,True,2,1.2733363552724753e-05,4.826834678649902,Phase 1 automated run
2026-07-17 14:44,Phase 1,perlin,EI,10,ILSVRC2012_val_00012374.JPEG,5,True,2,1.2239955045841525e-05,4.611284494400024,Phase 1 automated run
2026-07-17 14:44,Phase 1,perlin,EI,10,ILSVRC2012_val_00012374.JPEG,6,True,2,1.581134349673736e-05,5.976322412490845,Phase 1 automated run
2026-07-17 14:44,Phase 1,perlin,EI,10,ILSVRC2012_val_00012374.JPEG,7,True,2,1.0652066071916232e-05,4.027004957199097,Phase 1 automated run
2026-07-17 14:45,Phase 1,perlin,EI,10,ILSVRC2012_val_00012374.JPEG,8,True,2,8.94579324786519e-06,3.379059314727783,Phase 1 automated run
2026-07-17 14:45,Phase 1,perlin,EI,10,ILSVRC2012_val_00012374.JPEG,9,True,2,8.460279306774954e-06,3.2009024620056152,Phase 1 automated run
2026-07-17 14:45,Phase 1,perlin,EI,10,ILSVRC2012_val_00012374.JPEG,10,True,2,1.1337503702808332e-05,4.288559913635254,Phase 1 automated run
2026-07-17 14:45,Phase 1,perlin,EI,10,ILSVRC2012_val_00027157.JPEG,1,True,2,1.596223777727119e-05,6.036622524261475,Phase 1 automated run
2026-07-17 14:45,Phase 1,perlin,EI,10,ILSVRC2012_val_00027157.JPEG,2,True,2,9.449727264045033e-06,3.575762987136841,Phase 1 automated run
2026-07-17 14:45,Phase 1,perlin,EI,10,ILSVRC2012_val_00027157.JPEG,3,True,2,1.856636663690463e-05,7.071830987930298,Phase 1 automated run
2026-07-17 14:45,Phase 1,perlin,EI,10,ILSVRC2012_val_00027157.JPEG,4,True,2,3.298611078740381e-05,12.522376775741575,Phase 1 automated run
2026-07-17 14:45,Phase 1,perlin,EI,10,ILSVRC2012_val_00027157.JPEG,5,True,2,1.24930982114722e-05,4.758902549743652,Phase 1 automated run
2026-07-17 14:46,Phase 1,perlin,EI,10,ILSVRC2012_val_00027157.JPEG,6,True,2,2.7350617273407865e-05,10.150674104690552,Phase 1 automated run
2026-07-17 14:46,Phase 1,perlin,EI,10,ILSVRC2012_val_00027157.JPEG,7,True,2,1.314090080752925e-05,4.971261262893677,Phase 1 automated run
2026-07-17 14:46,Phase 1,perlin,EI,10,ILSVRC2012_val_00027157.JPEG,8,True,2,1.0720149138171358e-05,4.051354646682739,Phase 1 automated run
2026-07-17 14:46,Phase 1,perlin,EI,10,ILSVRC2012_val_00027157.JPEG,9,True,2,9.25675411771511e-06,3.492835283279419,Phase 1 automated run
2026-07-17 14:46,Phase 1,perlin,EI,10,ILSVRC2012_val_00027157.JPEG,10,True,2,1.1311331332314657e-05,4.275335311889648,Phase 1 automated run
2026-07-17 14:46,Phase 1,perlin,EI,10,ILSVRC2012_val_00035193.JPEG,1,True,2,1.057269964643732e-05,3.9857916831970215,Phase 1 automated run
2026-07-17 14:46,Phase 1,perlin,EI,10,ILSVRC2012_val_00035193.JPEG,2,True,2,1.2616493916527163e-05,4.786284685134888,Phase 1 automated run
2026-07-17 14:46,Phase 1,perlin,EI,10,ILSVRC2012_val_00035193.JPEG,3,True,2,1.0149643451158424e-05,3.8292219638824463,Phase 1 automated run
2026-07-17 14:47,Phase 1,perlin,EI,10,ILSVRC2012_val_00035193.JPEG,4,True,2,8.938679096045127e-06,3.38818359375,Phase 1 automated run
2026-07-17 14:47,Phase 1,perlin,EI,10,ILSVRC2012_val_00035193.JPEG,5,True,2,1.065887087317074e-05,4.024667263031006,Phase 1 automated run
2026-07-17 14:47,Phase 1,perlin,EI,10,ILSVRC2012_val_00035193.JPEG,6,True,2,1.1717296070861815e-05,4.426145076751709,Phase 1 automated run
2026-07-17 14:47,Phase 1,perlin,EI,10,ILSVRC2012_val_00035193.JPEG,7,True,2,1.0423869219105648e-05,3.9382050037384033,Phase 1 automated run
2026-07-17 14:47,Phase 1,perlin,EI,10,ILSVRC2012_val_00035193.JPEG,8,True,2,9.831070165810582e-06,3.724236726760864,Phase 1 automated run
2026-07-17 14:47,Phase 1,perlin,EI,10,ILSVRC2012_val_00035193.JPEG,9,True,2,1.3285083978881907e-05,5.016480922698975,Phase 1 automated run
2026-07-17 14:47,Phase 1,perlin,EI,10,ILSVRC2012_val_00035193.JPEG,10,True,2,1.1751200621284264e-05,4.443327903747559,Phase 1 automated run
2026-07-17 14:47,Phase 1,perlin,EI,10,ILSVRC2012_val_00010968.JPEG,1,True,2,1.0127015126726264e-05,3.8206188678741455,Phase 1 automated run
2026-07-17 14:47,Phase 1,perlin,EI,10,ILSVRC2012_val_00010968.JPEG,2,True,2,9.1503150631549e-06,3.463128566741944,Phase 1 automated run
2026-07-17 14:47,Phase 1,perlin,EI,10,ILSVRC2012_val_00010968.JPEG,3,True,2,9.104193447694344e-06,3.4347686767578125,Phase 1 automated run
2026-07-17 14:47,Phase 1,perlin,EI,10,ILSVRC2012_val_00010968.JPEG,4,True,2,9.85157131646859e-06,3.727063655853272,Phase 1 automated run
2026-07-17 14:48,Phase 1,perlin,EI,10,ILSVRC2012_val_00010968.JPEG,5,True,2,1.0537481903821988e-05,3.98058819770813,Phase 1 automated run
2026-07-17 14:48,Phase 1,perlin,EI,10,ILSVRC2012_val_00010968.JPEG,6,True,2,9.57665908211784e-06,3.629783391952514,Phase 1 automated run
2026-07-17 14:48,Phase 1,perlin,EI,10,ILSVRC2012_val_00010968.JPEG,7,True,2,1.4042151180743202e-05,5.302409410476685,Phase 1 automated run
2026-07-17 14:48,Phase 1,perlin,EI,10,ILSVRC2012_val_00010968.JPEG,8,True,2,1.4579755563023084e-05,5.550852060317993,Phase 1 automated run
2026-07-17 14:48,Phase 1,perlin,EI,10,ILSVRC2012_val_00010968.JPEG,9,True,2,1.5900921478889267e-05,6.152737379074097,Phase 1 automated run
2026-07-17 14:48,Phase 1,perlin,EI,10,ILSVRC2012_val_00010968.JPEG,10,True,2,1.372846777420049e-05,5.217864751815796,Phase 1 automated run
2026-07-17 14:48,Phase 1,perlin,EI,10,ILSVRC2012_val_00017651.JPEG,1,True,2,1.1669340129038752e-05,4.41179084777832,Phase 1 automated run
2026-07-17 14:49,Phase 1,perlin,EI,10,ILSVRC2012_val_00017651.JPEG,2,True,2,1.817702165470281e-05,6.866090774536133,Phase 1 automated run
2026-07-17 14:49,Phase 1,perlin,EI,10,ILSVRC2012_val_00017651.JPEG,3,True,2,1.222544703605672e-05,4.612555980682373,Phase 1 automated run
