noise_type,mean_emissions,std_emissions,mean_queries,success_rate,mean_time
gaussian,2.0253323029463287e-08,6.7076103920733154e-09,1.0,100.0,0.0098131873607635
gabor,3.8064506765415388e-06,2.4826358779524463e-07,16.007,100.0,1.8404380114078522
BICU,3.9283489983544945e-06,2.7835747804312226e-07,16.018,100.0,1.8994226627349853
NN,3.9745880925406e-06,3.70595886999326e-07,16.022,100.0,1.921865814447403
BILI,4.000683462621223e-06,3.299919066304885e-07,16.0,100.0,1.9344317460060119
CLUSTER,4.6981023516944015e-06,3.7885518857320615e-07,16.003,100.0,2.271638354539871
perlin,5.20875941723589e-06,2.2000686887673875e-07,16.001,100.0,2.5183560984134674
